epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.38192,1.27018,2.9879,1.31223,0.0064,0.9359,0.52388,0.39489,0.74706,2.82416,0.99887,0.00016,0.00016,0.00016
2,8.38564,0.84042,1.74577,1.04013,0.97063,0.42369,0.69839,0.48698,0.88905,2.51086,1.09927,0.000326536,0.000326536,0.000326536
3,11.9781,0.82183,1.39364,1.02392,1,0.25451,0.63174,0.48022,0.87027,2.57532,1.03506,0.000478816,0.000478816,0.000478816
4,14.9555,0.79257,1.21578,1.00315,0.97123,0.4359,0.62114,0.45034,0.85738,2.49013,1.08173,0.00061684,0.00061684,0.00061684
5,17.6054,0.79007,1.21146,1.02367,0.72695,0.57692,0.64494,0.52015,0.79678,2.02495,1.0098,0.000740608,0.000740608,0.000740608
6,20.2141,0.76324,1.18026,1.01959,0.79788,0.50616,0.69896,0.52988,0.82312,2.32431,1.03612,0.00085012,0.00085012,0.00085012
7,23.018,0.79677,1.08321,1.01669,0.73632,0.50123,0.70435,0.54223,0.80834,2.18551,1.05527,0.000945376,0.000945376,0.000945376
8,27.0492,0.78681,1.10128,1.01954,0.80301,0.62716,0.81353,0.64871,0.76949,1.90981,0.97605,0.00102638,0.00102638,0.00102638
9,29.8538,0.79306,1.01591,1.01651,0.79533,0.84693,0.88153,0.72292,0.73702,1.51432,0.98497,0.00109312,0.00109312,0.00109312
10,32.3882,0.74339,0.97941,1.0028,0.7098,0.6899,0.79066,0.62262,0.86514,1.61478,1.02556,0.00114561,0.00114561,0.00114561
11,34.9358,0.7525,0.98504,0.99836,0.74148,0.79487,0.84485,0.68851,0.76306,1.24657,0.97327,0.00118384,0.00118384,0.00118384
12,37.6005,0.74301,0.93753,0.98,0.72481,0.84422,0.84076,0.67695,0.78909,1.27662,1.00373,0.0011288,0.0011288,0.0011288
13,41.4801,0.69762,0.88965,0.97304,0.76955,0.85625,0.87354,0.70812,0.72497,0.95718,0.97191,0.0010496,0.0010496,0.0010496
14,44.4273,0.6907,0.87961,0.97626,0.70165,0.84425,0.85929,0.6942,0.73519,0.93343,1.02225,0.0009704,0.0009704,0.0009704
15,46.8804,0.68467,0.88701,0.97565,0.85288,0.81761,0.91701,0.74769,0.621,0.81855,0.95541,0.0008912,0.0008912,0.0008912
16,51.3024,0.69611,0.96231,0.99757,0.75378,0.83333,0.89404,0.73767,0.68847,0.99115,0.96246,0.000812,0.000812,0.000812
17,55.4189,0.67564,0.9382,0.97458,0.82345,0.91026,0.9236,0.75622,0.66937,0.90196,0.98928,0.0007328,0.0007328,0.0007328
18,58.9429,0.66098,0.87964,0.98332,0.77485,0.94872,0.90864,0.75069,0.66174,0.88777,0.96493,0.0006536,0.0006536,0.0006536
19,61.332,0.6783,0.86964,0.95696,0.74869,0.9549,0.93461,0.77038,0.65329,0.81636,0.93963,0.0005744,0.0005744,0.0005744
20,63.8073,0.66286,0.85301,0.95555,0.78272,0.91026,0.92286,0.77048,0.62354,0.76683,0.9216,0.0004952,0.0004952,0.0004952
21,66.0682,0.6419,0.82593,0.94294,0.82042,0.82051,0.89933,0.75128,0.59461,0.78742,0.91878,0.000416,0.000416,0.000416
22,69.1056,0.5927,0.78804,0.92197,0.81759,0.92308,0.93304,0.79177,0.56269,0.66834,0.90605,0.0003368,0.0003368,0.0003368
23,72.8724,0.61173,0.80261,0.92921,0.83884,0.97436,0.95494,0.81913,0.54269,0.6207,0.88709,0.0002576,0.0002576,0.0002576
24,75.3533,0.57365,0.76553,0.92493,0.85269,0.96475,0.95925,0.82534,0.53638,0.62473,0.87558,0.0001784,0.0001784,0.0001784
25,77.8181,0.58325,0.72325,0.90414,0.83659,0.97436,0.95934,0.82294,0.52657,0.6131,0.87341,9.92e-05,9.92e-05,9.92e-05
